local;depend_admin;porc_total_2015;porc_masc_2015;porc_fem_2015
Brasil;Total;14,5;13,8;15,1
Brasil;Pública;14,8;14;15,5
Brasil;Privada;13;12,9;13,1
Porto Velho (RO);Total;13;13,4;12,7
Porto Velho (RO);Pública;13,5;14;13,1
Porto Velho (RO);Privada;9,7;9,6;9,8
Rio Branco (AC);Total;15,9;16,4;15,4
Rio Branco (AC);Pública;16,4;16,9;15,9
Rio Branco (AC);Privada;12,7;12,7;12,8
Manaus (AM);Total;17,1;17;17,3
Manaus (AM);Pública;17,6;17,7;17,4
Manaus (AM);Privada;13,9;10,9;16,3
Boa Vista (RR);Total;16,8;15;18,6
Boa Vista (RR);Pública;17,4;15,5;19,1
Boa Vista (RR);Privada;12;11,5;12,5
Belém (PA);Total;15,6;14,1;17
Belém (PA);Pública;15,2;13,2;16,9
Belém (PA);Privada;16,5;15,8;17,2
Macapá (AP);Total;15,7;13,6;17,7
Macapá (AP);Pública;16,2;14,5;17,8
Macapá (AP);Privada;12,6;7,5;17,5
Palmas (TO);Total;12,3;13,2;11,5
Palmas (TO);Pública;13,8;15,7;12,2
Palmas (TO);Privada;6,6;4,6;8,5
São Luís (MA);Total;16,1;14,6;17,7
São Luís (MA);Pública;16,4;15,9;16,9
São Luís (MA);Privada;15,5;11,4;19,5
Teresina (PI);Total;13,7;12,9;14,4
Teresina (PI);Pública;14,1;14;14,2
Teresina (PI);Privada;12,8;10,7;14,7
Fortaleza (CE);Total;15,2;15,2;15,1
Fortaleza (CE);Pública;16,6;17,4;15,9
Fortaleza (CE);Privada;12,3;11,3;13,3
Natal (RN);Total;13;11,6;14,3
Natal (RN);Pública;14,3;12;16,6
Natal (RN);Privada;10,8;11;10,6
João Pessoa (PB);Total;13,1;12;14,1
João Pessoa (PB);Pública;14,5;13,5;15,3
João Pessoa (PB);Privada;11;9,7;12,3
Recife (PE);Total;17,9;15,5;20
Recife (PE);Pública;20,4;16,7;23,9
Recife (PE);Privada;13,6;13,5;13,7
Maceió (AL);Total;15,3;14,4;16,1
Maceió (AL);Pública;14,7;11,9;16,9
Maceió (AL);Privada;15,9;16,7;15,2
Aracaju (SE);Total;15,3;14,6;16
Aracaju (SE);Pública;17,7;17,7;17,8
Aracaju (SE);Privada;11,9;10,7;13,2
Salvador (BA);Total;16,4;13,4;19
Salvador (BA);Pública;18,6;15,4;21,3
Salvador (BA);Privada;12,1;9,2;14,5
Belo Horizonte (MG);Total;14,6;13,8;15,5
Belo Horizonte (MG);Pública;14,9;14,2;15,7
Belo Horizonte (MG);Privada;13,4;12,1;14,7
Vitória (ES);Total;12,4;9,6;15
Vitória (ES);Pública;14,2;10,3;17,7
Vitória (ES);Privada;9;8,4;9,5
Rio de Janeiro (RJ);Total;17,5;16,4;18,5
Rio de Janeiro (RJ);Pública;18,7;16,1;21
Rio de Janeiro (RJ);Privada;15,6;16,9;14,5
São Paulo (SP);Total;18,2;16,8;19,7
São Paulo (SP);Pública;19,8;18,2;21,3
São Paulo (SP);Privada;13,1;11,9;14,2
Curitiba (PR);Total;12,9;12;13,7
Curitiba (PR);Pública;13,1;11,9;14,2
Curitiba (PR);Privada;12,4;12,5;12,4
Florianópolis (SC);Total;9,3;8,7;9,8
Florianópolis (SC);Pública;9,8;8,3;11,2
Florianópolis (SC);Privada;8,2;9,7;7
Porto Alegre (RS);Total;12,2;10,5;14,2
Porto Alegre (RS);Pública;12,3;10,6;14,2
Porto Alegre (RS);Privada;11,7;8,7;15,3
Campo Grande (MS);Total;13,4;12;14,9
Campo Grande (MS);Pública;13,6;11,6;15,6
Campo Grande (MS);Privada;12,3;13,7;11
Cuiabá (MT);Total;18,2;18,4;18
Cuiabá (MT);Pública;19,9;20,8;19,1
Cuiabá (MT);Privada;11,7;9,4;13,8
Goiânia (GO);Total;14,4;13,7;15,1
Goiânia (GO);Pública;15;13,9;16,2
Goiânia (GO);Privada;13,3;13,3;13,4
Brasília (DF);Total;14,6;13,4;15,7
Brasília (DF);Pública;15,3;13,7;16,7
Brasília (DF);Privada;12,6;12,4;12,9